Model_Name,Case,Learning_Rate,Epochs,Transformation,Rotation,Loss_Function,MSE,MAE,Cosine_Similarity,Angle_Difference,Conditionals
convolutional_vae,case_k_003_left,0.0001,1,grid64,False,mse,0.9622493386268616,0.7638448476791382,0.11387667059898376,82.16410827636719,False
convolutional_vae,case_k_008_right,0.0001,1,grid64,False,mse,0.7795876264572144,0.6666101217269897,0.04925670102238655,87.18019104003906,False
convolutional_vae,case_m_006_left,0.0001,1,grid64,False,mse,0.666550874710083,0.6166797876358032,0.29106470942497253,72.08120727539062,False
convolutional_vae,case_w_027_right,0.0001,1,grid64,False,mse,0.6973726749420166,0.6348737478256226,0.42619067430496216,62.30564498901367,False
convolutional_vae,case_w_038_left,0.0001,1,grid64,False,mse,1.1241403818130493,0.8376348614692688,0.23188041150569916,75.08433532714844,False
convolutional_vae,bifurication,0.0001,1,grid64,False,mse,0.7461680173873901,0.6621662974357605,0.07396329194307327,86.07456970214844,False
convolutional_vae,aneurysm2,0.0001,1,grid64,False,mse,1.3915525674819946,0.9460322856903076,0.1146271675825119,82.62857818603516,False
convolutional_vae,aneurysm1,0.0001,1,grid64,False,mse,0.756016731262207,0.6722469329833984,0.01643671840429306,89.11600494384766,False
convolutional_vae,cylinder,0.0001,1,grid64,False,mse,2.2184267044067383,1.0751745700836182,0.333499014377594,70.1341323852539,False
convolutional_vae,case_k_003_left,0.0001,10,grid64,False,mse,0.28549453616142273,0.3979629576206207,-0.07856281846761703,94.59896087646484,False
convolutional_vae,case_k_008_right,0.0001,10,grid64,False,mse,0.19897447526454926,0.35967016220092773,-0.07851526886224747,95.80345153808594,False
convolutional_vae,case_m_006_left,0.0001,10,grid64,False,mse,0.17093929648399353,0.3495153784751892,-0.2894734740257263,110.44967651367188,False
convolutional_vae,case_w_027_right,0.0001,10,grid64,False,mse,0.22277836501598358,0.396973580121994,0.2487659901380539,74.07861328125,False
convolutional_vae,case_w_038_left,0.0001,10,grid64,False,mse,0.16098450124263763,0.3130098581314087,0.15304698050022125,80.30982208251953,False
convolutional_vae,bifurication,0.0001,10,grid64,False,mse,0.08574611693620682,0.204973503947258,-0.5052136778831482,126.27865600585938,False
convolutional_vae,aneurysm2,0.0001,10,grid64,False,mse,0.9696378111839294,0.7543575167655945,0.0637773871421814,86.57010650634766,False
convolutional_vae,aneurysm1,0.0001,10,grid64,False,mse,16.810466766357422,3.134479522705078,0.0025062942877411842,88.8400650024414,False
convolutional_vae,cylinder,0.0001,10,grid64,False,mse,0.19191253185272217,0.35775846242904663,0.32066604495048523,71.00082397460938,False
convolutional_vae,case_k_003_left,0.001,1,grid64,False,mse,2.7563836574554443,1.0358281135559082,0.06943387538194656,85.93473052978516,False
convolutional_vae,case_k_008_right,0.001,1,grid64,False,mse,1.349155068397522,0.7152822017669678,-0.29362452030181885,108.7396240234375,False
convolutional_vae,case_m_006_left,0.001,1,grid64,False,mse,31.613521575927734,4.281337261199951,0.2744780480861664,73.48931884765625,False
convolutional_vae,case_w_027_right,0.001,1,grid64,False,mse,1.893558144569397,0.802716076374054,-0.18812018632888794,101.30793762207031,False
convolutional_vae,case_w_038_left,0.001,1,grid64,False,mse,41.804100036621094,4.629415512084961,-0.06764031201601028,94.71125030517578,False
convolutional_vae,bifurication,0.001,1,grid64,False,mse,6.15850305557251,1.618414282798767,0.22395417094230652,76.85150909423828,False
convolutional_vae,aneurysm2,0.001,1,grid64,False,mse,17.839508056640625,2.060973882675171,-0.05877819284796715,93.7364501953125,False
convolutional_vae,aneurysm1,0.001,1,grid64,False,mse,1.030189037322998,0.5052446126937866,0.18112266063690186,77.4332504272461,False
convolutional_vae,cylinder,0.001,1,grid64,False,mse,10.267093658447266,1.9328947067260742,0.012004501186311245,89.73709869384766,False
convolutional_vae,case_k_003_left,0.01,10,grid64,False,mse,2.3333685398101807,1.267727255821228,-0.03576291352510452,92.9320068359375,False
convolutional_vae,case_k_008_right,0.01,10,grid64,False,mse,0.6657689213752747,0.7336757779121399,0.4870988428592682,57.98797607421875,False
convolutional_vae,case_m_006_left,0.01,10,grid64,False,mse,0.4330294728279114,0.4442793130874634,0.644659698009491,48.388221740722656,False
convolutional_vae,case_w_027_right,0.01,10,grid64,False,mse,0.27461403608322144,0.4364185631275177,-0.39313170313835144,115.86675262451172,False
convolutional_vae,case_w_038_left,0.01,10,grid64,False,mse,0.27760061621665955,0.3710072636604309,-0.08085791021585464,95.58020782470703,False
convolutional_vae,bifurication,0.01,10,grid64,False,mse,3.334007501602173,1.5799671411514282,0.5501934885978699,55.39960861206055,False
convolutional_vae,aneurysm2,0.01,10,grid64,False,mse,,,,,False
convolutional_vae,aneurysm1,0.01,10,grid64,False,mse,,,,,False
convolutional_vae,cylinder,0.01,10,grid64,False,mse,19.45425796508789,3.8493528366088867,0.5843569040298462,54.071746826171875,False
convolutional_vae,case_k_003_left,0.001,10,grid64,False,mse,1.4970701932907104,0.8673257231712341,0.1326630860567093,81.73355102539062,False
convolutional_vae,case_k_008_right,0.001,10,grid64,False,mse,3.349360942840576,1.4541501998901367,0.2677321135997772,72.2938232421875,False
convolutional_vae,case_m_006_left,0.001,10,grid64,False,mse,3.8493435382843018,1.8320715427398682,0.43724486231803894,63.81665802001953,False
convolutional_vae,case_w_027_right,0.001,10,grid64,False,mse,1.4600098133087158,1.0579774379730225,0.26175108551979065,71.97732543945312,False
convolutional_vae,case_w_038_left,0.001,10,grid64,False,mse,1.5022728443145752,1.015987515449524,0.39907246828079224,62.145484924316406,False
