Model_Name,Case,Learning_Rate,Epochs,Transformation,Rotation,Loss_Function,MSE,MAE,Cosine_Similarity,Angle_Difference
pointnet,case_k_003_left,0.1,100,unitcube,False,mse,0.13193172216415405,0.20427294075489044,0.18946559727191925,74.66310119628906
pointnet,case_k_008_right,0.1,100,unitcube,False,mse,0.031369343400001526,0.1273983269929886,0.22617368400096893,71.67274475097656
pointnet,case_m_006_left,0.1,100,unitcube,False,mse,0.03406169265508652,0.1358787566423416,0.31597429513931274,65.24751281738281
pointnet,case_w_027_right,0.1,100,unitcube,False,mse,0.04327709972858429,0.15112046897411346,0.12139151990413666,80.54768371582031
pointnet,case_w_038_left,0.1,100,unitcube,False,mse,0.06345682591199875,0.1763906329870224,0.25522980093955994,70.24633026123047
pointnet,bifurication,0.1,100,unitcube,False,mse,0.008283749222755432,0.07390779256820679,0.4837494492530823,55.290374755859375
pointnet,aneurysm2,0.1,100,unitcube,False,mse,0.013200899586081505,0.08969415724277496,0.12420378625392914,80.9029541015625
pointnet,aneurysm1,0.1,100,unitcube,False,mse,0.01789546199142933,0.10632084310054779,0.09953168034553528,83.03114318847656
pointnet,cylinder,0.1,100,unitcube,False,mse,0.00994403101503849,0.08096405863761902,0.5356627702713013,52.663448333740234
pointnet,case_k_003_left,0.1,100,zerocenter,False,mse,0.6772787570953369,0.71281898021698,0.075992651283741,83.78131866455078
pointnet,case_k_008_right,0.1,100,zerocenter,False,mse,0.5830090641975403,0.6881407499313354,0.07795709371566772,83.78296661376953
pointnet,case_m_006_left,0.1,100,zerocenter,False,mse,0.5840261578559875,0.6858158111572266,0.0985601544380188,82.57194519042969
pointnet,case_w_027_right,0.1,100,zerocenter,False,mse,0.6001819968223572,0.6950368881225586,0.035387128591537476,87.33541107177734
pointnet,case_w_038_left,0.1,100,zerocenter,False,mse,0.6053206920623779,0.689865231513977,0.09529262781143188,82.73177337646484
pointnet,bifurication,0.1,100,zerocenter,False,mse,0.5667507648468018,0.6880868077278137,0.16146865487098694,78.91410064697266
pointnet,aneurysm2,0.1,100,zerocenter,False,mse,0.5724223852157593,0.6903811693191528,0.05293117091059685,86.25153350830078
pointnet,aneurysm1,0.1,100,zerocenter,False,mse,0.5808652639389038,0.6943570971488953,0.030645744875073433,87.98656463623047
pointnet,cylinder,0.1,100,zerocenter,False,mse,0.562934160232544,0.6830288767814636,0.17841680347919464,78.2756576538086
pointnet,case_k_003_left,0.1,100,grid64,False,mse,0.17112654447555542,0.2982916831970215,0.671303391456604,43.980552673339844
pointnet,case_k_008_right,0.1,100,grid64,False,mse,0.0754256546497345,0.2184649407863617,0.7933691143989563,33.5830078125
pointnet,case_m_006_left,0.1,100,grid64,False,mse,0.03575592488050461,0.1438327431678772,0.9041184186935425,23.036361694335938
pointnet,case_w_027_right,0.1,100,grid64,False,mse,0.06379605084657669,0.18848341703414917,0.7979505062103271,34.18415069580078
pointnet,case_w_038_left,0.1,100,grid64,False,mse,0.09500649571418762,0.2386026531457901,0.7892382740974426,34.5778923034668
pointnet,bifurication,0.1,100,grid64,False,mse,0.02810036949813366,0.09635643661022186,0.9150211811065674,21.335498809814453
pointnet,aneurysm2,0.1,100,grid64,False,mse,0.030124690383672714,0.10843029618263245,0.11103244125843048,80.6144027709961
pointnet,aneurysm1,0.1,100,grid64,False,mse,0.03638962283730507,0.12826986610889435,0.22635459899902344,73.44668579101562
pointnet,cylinder,0.1,100,grid64,False,mse,0.02170245721936226,0.08334636688232422,0.9801119565963745,8.970927238464355
pointnet,case_k_003_left,0.1,100,grid128,False,mse,0.1951434463262558,0.3264218866825104,0.4404173791408539,61.0915641784668
pointnet,case_k_008_right,0.1,100,grid128,False,mse,0.08454150706529617,0.22694014012813568,0.5443931818008423,53.65210723876953
pointnet,case_m_006_left,0.1,100,grid128,False,mse,0.05613889917731285,0.18992014229297638,0.7299504280090332,39.28164291381836
pointnet,case_w_027_right,0.1,100,grid128,False,mse,0.07884460687637329,0.22617937624454498,0.6057096123695374,48.83991241455078
pointnet,case_w_038_left,0.1,100,grid128,False,mse,0.09893690049648285,0.2522001564502716,0.5515531897544861,53.37699890136719
pointnet,aneurysm1,0.1,100,grid128,False,mse,0.03852645307779312,0.15645192563533783,0.6719121336936951,43.809791564941406
pointnet,aneurysm2,0.1,100,grid128,False,mse,0.08845557272434235,0.2451459765434265,0.4038139581680298,64.04010009765625
pointnet,bifurication,0.1,100,grid128,False,mse,0.0235493965446949,0.12872858345508575,0.664360761642456,44.996219635009766
pointnet,cylinder,0.1,100,grid128,False,mse,0.020388664677739143,0.11730434745550156,0.7257644534111023,41.00434875488281
pointnet,case_k_003_left,0.1,100,rel,False,mse,0.15075188875198364,0.2210507094860077,0.04350130259990692,86.51512908935547
pointnet,case_k_008_right,0.1,100,rel,False,mse,0.049354128539562225,0.14322529733181,0.050508007407188416,85.89039611816406
pointnet,case_m_006_left,0.1,100,rel,False,mse,0.05362696200609207,0.1529812216758728,0.08588742464780807,83.11598205566406
pointnet,case_w_027_right,0.1,100,rel,False,mse,0.059211794286966324,0.16159874200820923,0.04215438663959503,86.6885757446289
pointnet,case_w_038_left,0.1,100,rel,False,mse,0.08481162786483765,0.19587819278240204,0.05689653754234314,85.57571411132812
pointnet,bifurication,0.1,100,rel,False,mse,0.023463252931833267,0.09091710299253464,0.12616531550884247,80.871337890625
pointnet,aneurysm2,0.1,100,rel,False,mse,0.02822905406355858,0.10070876777172089,0.006173195317387581,89.50922393798828
