Model_Name,Case,Learning_Rate,Epochs,Transformation,Rotation,Loss_Function,MSE,MAE,Cosine_Similarity
pointnetpp,case_k_003_left,0.0001,30,zerocenter,False,mse,0.12705998122692108,0.19316460192203522,0.2514287531375885
pointnetpp,case_k_008_right,0.0001,30,zerocenter,False,mse,0.029545778408646584,0.11522191017866135,0.35125434398651123
pointnetpp,case_m_006_left,0.0001,30,zerocenter,False,mse,0.024114424362778664,0.1129598617553711,0.568436861038208
pointnetpp,case_w_027_right,0.0001,30,zerocenter,False,mse,0.042163457721471786,0.13928411900997162,0.2405160814523697
pointnetpp,case_w_038_left,0.0001,30,zerocenter,False,mse,0.05347658321261406,0.16036862134933472,0.39424410462379456
pointnetpp,bifurication,0.0001,30,zerocenter,False,mse,0.004499275702983141,0.049862783402204514,0.8078521490097046
pointnetpp,aneurysm2,0.0001,30,zerocenter,False,mse,0.00904115755110979,0.06696781516075134,0.1296166181564331
pointnetpp,aneurysm1,0.0001,30,zerocenter,False,mse,0.013311554677784443,0.08796130120754242,0.17996251583099365
pointnetpp,cylinder,0.0001,30,zerocenter,False,mse,0.004284693859517574,0.047440074384212494,0.896643340587616
pointnetpp,case_k_003_left,0.0001,30,rel,False,mse,0.14155793190002441,0.22817419469356537,0.15559616684913635
pointnetpp,case_k_008_right,0.0001,30,rel,False,mse,0.03978094086050987,0.1478683203458786,0.2192322164773941
pointnetpp,case_m_006_left,0.0001,30,rel,False,mse,0.033742476254701614,0.14002008736133575,0.4041842818260193
pointnetpp,case_w_027_right,0.0001,30,rel,False,mse,0.048561062663793564,0.16562306880950928,0.16436539590358734
pointnetpp,case_w_038_left,0.0001,30,rel,False,mse,0.06612856686115265,0.18826176226139069,0.2615905702114105
pointnetpp,bifurication,0.0001,30,rel,False,mse,0.015006680972874165,0.09713195264339447,0.5309322476387024
pointnetpp,aneurysm2,0.0001,30,rel,False,mse,0.02223275415599346,0.11631385236978531,0.0741969645023346
pointnetpp,aneurysm1,0.0001,30,rel,False,mse,0.025967948138713837,0.12740403413772583,0.12662003934383392
pointnetpp,cylinder,0.0001,30,rel,False,mse,0.015160308219492435,0.09764592349529266,0.6024938225746155
pointnetpp,case_k_003_left,0.1,30,unitcube,True,mse,0.12873992323875427,0.20085904002189636,0.2590768337249756
pointnetpp,case_k_008_right,0.1,30,unitcube,True,mse,0.02933923527598381,0.1175272986292839,0.3610857129096985
pointnetpp,case_m_006_left,0.1,30,unitcube,True,mse,0.02242204360663891,0.1077706590294838,0.6007435917854309
pointnetpp,case_w_027_right,0.1,30,unitcube,True,mse,0.03805302828550339,0.1372421383857727,0.2605075538158417
pointnetpp,case_w_038_left,0.1,30,unitcube,True,mse,0.05357249453663826,0.16202913224697113,0.4097301661968231
pointnetpp,bifurication,0.1,30,unitcube,True,mse,0.00711320573464036,0.057222168892621994,0.8463183045387268
pointnetpp,aneurysm2,0.1,30,unitcube,True,mse,0.014453863725066185,0.08249838650226593,0.11379800736904144
pointnetpp,aneurysm1,0.1,30,unitcube,True,mse,0.01770786941051483,0.09860645234584808,0.19809399545192719
pointnetpp,cylinder,0.1,30,unitcube,True,mse,0.004734710790216923,0.04310173541307449,0.9368175864219666
pointnetpp,case_k_003_left,0.1,30,unitcube,False,mse,0.2095252424478531,0.31376639008522034,0.14692135155200958
pointnetpp,case_k_008_right,0.1,30,unitcube,False,mse,0.11079622805118561,0.247907355427742,0.1786450892686844
pointnetpp,case_m_006_left,0.1,30,unitcube,False,mse,0.09693960845470428,0.2335629165172577,0.3086331784725189
pointnetpp,case_w_027_right,0.1,30,unitcube,False,mse,0.12025604397058487,0.25965070724487305,0.13233508169651031
pointnetpp,case_w_038_left,0.1,30,unitcube,False,mse,0.12856362760066986,0.27082017064094543,0.21870741248130798
pointnetpp,bifurication,0.1,30,unitcube,False,mse,0.09117130935192108,0.22173704206943512,0.4303607642650604
pointnetpp,aneurysm2,0.1,30,unitcube,False,mse,0.1002400815486908,0.23295755684375763,0.05888272821903229
pointnetpp,aneurysm1,0.1,30,unitcube,False,mse,0.10339365154504776,0.23723681271076202,0.1064755842089653
pointnetpp,cylinder,0.1,30,unitcube,False,mse,0.08453330397605896,0.2145606279373169,0.47737669944763184
pointnetpp,case_k_003_left,0.1,30,grid64,False,mse,0.1950504332780838,0.31681379675865173,0.42667216062545776
pointnetpp,case_k_008_right,0.1,30,grid64,False,mse,0.10228410363197327,0.25192350149154663,0.25705093145370483
pointnetpp,case_m_006_left,0.1,30,grid64,False,mse,0.05620483681559563,0.18293263018131256,0.5867809653282166
pointnetpp,case_w_027_right,0.1,30,grid64,False,mse,0.0860254094004631,0.22171010076999664,0.5388752818107605
pointnetpp,case_w_038_left,0.1,30,grid64,False,mse,0.12365040928125381,0.26714780926704407,0.27275383472442627
pointnetpp,bifurication,0.1,30,grid64,False,mse,0.04064129292964935,0.15309259295463562,0.609586238861084
pointnetpp,aneurysm2,0.1,30,grid64,False,mse,0.05296655371785164,0.1736094355583191,-0.008466675877571106
pointnetpp,aneurysm1,0.1,30,grid64,False,mse,0.05385082960128784,0.17622345685958862,0.2136913686990738
pointnetpp,cylinder,0.1,30,grid64,False,mse,0.028240522369742393,0.1263199746608734,0.4953949451446533
pointnetpp,case_k_003_left,0.1,30,grid128,False,mse,1.3259410858154297,0.8486940264701843,0.1850944459438324
pointnetpp,case_k_008_right,0.1,30,grid128,False,mse,1.3207670450210571,0.8797745108604431,0.12996217608451843
pointnetpp,case_m_006_left,0.1,30,grid128,False,mse,0.9015617370605469,0.5929592251777649,0.49554869532585144
pointnetpp,case_w_027_right,0.1,30,grid128,False,mse,0.934245765209198,0.6400929093360901,0.33705705404281616
pointnetpp,case_w_038_left,0.1,30,grid128,False,mse,1.4881409406661987,0.9514274001121521,0.12129760533571243
pointnetpp,aneurysm1,0.1,30,grid128,False,mse,0.3129079341888428,0.38189730048179626,0.4644302725791931
pointnetpp,aneurysm2,0.1,30,grid128,False,mse,1.080837368965149,0.8190938234329224,0.008631712757050991
pointnetpp,bifurication,0.1,30,grid128,False,mse,1.2202566862106323,0.8112915754318237,0.22749024629592896
pointnetpp,cylinder,0.1,30,grid128,False,mse,0.814163088798523,0.6299741864204407,0.2820827066898346
pointnetpp,case_k_003_left,0.01,30,unitcube,True,mse,0.1292925775051117,0.20227092504501343,0.24554185569286346
pointnetpp,case_k_008_right,0.01,30,unitcube,True,mse,0.029619896784424782,0.11939828097820282,0.35288089513778687
pointnetpp,case_m_006_left,0.01,30,unitcube,True,mse,0.022600682452321053,0.10840858519077301,0.5973763465881348
pointnetpp,case_w_027_right,0.01,30,unitcube,True,mse,0.03767259418964386,0.13729450106620789,0.2648927867412567
pointnetpp,case_w_038_left,0.01,30,unitcube,True,mse,0.05413522943854332,0.1638038009405136,0.3996433615684509
pointnetpp,bifurication,0.01,30,unitcube,True,mse,0.006605586502701044,0.05794425681233406,0.8383559584617615
pointnetpp,aneurysm2,0.01,30,unitcube,True,mse,0.014106068760156631,0.08427788317203522,0.09843204915523529
pointnetpp,aneurysm1,0.01,30,unitcube,True,mse,0.01701296865940094,0.0980946347117424,0.19784623384475708
pointnetpp,cylinder,0.01,30,unitcube,True,mse,0.004636974073946476,0.04690403491258621,0.925902247428894
pointnetpp,case_k_003_left,0.01,30,unitcube,False,mse,0.13465480506420135,0.21614374220371246,0.23545336723327637
pointnetpp,case_k_008_right,0.01,30,unitcube,False,mse,0.03456472232937813,0.13453803956508636,0.33621150255203247
pointnetpp,case_m_006_left,0.01,30,unitcube,False,mse,0.03360086306929588,0.14061623811721802,0.49526333808898926
pointnetpp,case_w_027_right,0.01,30,unitcube,False,mse,0.04625581204891205,0.16029402613639832,0.21489645540714264
pointnetpp,case_w_038_left,0.01,30,unitcube,False,mse,0.06318121403455734,0.18352121114730835,0.3528607487678528
pointnetpp,bifurication,0.01,30,unitcube,False,mse,0.016013862565159798,0.09744477272033691,0.7299878001213074
pointnetpp,aneurysm2,0.01,30,unitcube,False,mse,0.025581292808055878,0.12464485317468643,0.10465090721845627
pointnetpp,aneurysm1,0.01,30,unitcube,False,mse,0.028139004483819008,0.13156896829605103,0.1611449420452118
pointnetpp,cylinder,0.01,30,unitcube,False,mse,0.011877351440489292,0.08288978785276413,0.8066778779029846
pointnetpp,case_k_003_left,0.01,30,grid64,False,mse,0.174713134765625,0.2968830168247223,0.546744167804718
pointnetpp,case_k_008_right,0.01,30,grid64,False,mse,0.09280228614807129,0.24240617454051971,0.5315285921096802
pointnetpp,case_m_006_left,0.01,30,grid64,False,mse,0.04405222460627556,0.162018820643425,0.768812894821167
pointnetpp,case_w_027_right,0.01,30,grid64,False,mse,0.06729038804769516,0.19706939160823822,0.7265893220901489
pointnetpp,case_w_038_left,0.01,30,grid64,False,mse,0.10722972452640533,0.25256454944610596,0.5716140270233154
pointnetpp,bifurication,0.01,30,grid64,False,mse,0.04153246060013771,0.1476343274116516,0.723441481590271
pointnetpp,aneurysm2,0.01,30,grid64,False,mse,0.05316442623734474,0.16909156739711761,0.050289228558540344
pointnetpp,aneurysm1,0.01,30,grid64,False,mse,0.055878814309835434,0.17446331679821014,0.20911653339862823
pointnetpp,cylinder,0.01,30,grid64,False,mse,0.048048488795757294,0.1556241512298584,0.7379875183105469
pointnetpp,case_k_003_left,0.01,30,grid128,False,mse,0.1526232659816742,0.25207674503326416,0.6926261782646179
pointnetpp,case_k_008_right,0.01,30,grid128,False,mse,0.04681006819009781,0.1522316336631775,0.8302357196807861
pointnetpp,case_m_006_left,0.01,30,grid128,False,mse,0.02869284152984619,0.13488253951072693,0.8675469756126404
pointnetpp,case_w_027_right,0.01,30,grid128,False,mse,0.05141891539096832,0.1756138801574707,0.7832417488098145
pointnetpp,case_w_038_left,0.01,30,grid128,False,mse,0.05618643760681152,0.17871800065040588,0.8134364485740662
pointnetpp,aneurysm1,0.01,30,grid128,False,mse,0.031443919986486435,0.14722968637943268,0.8123393058776855
pointnetpp,aneurysm2,0.01,30,grid128,False,mse,0.044695574790239334,0.1823778599500656,0.7671763300895691
pointnetpp,bifurication,0.01,30,grid128,False,mse,0.057288456708192825,0.17354442179203033,0.8922863006591797
pointnetpp,cylinder,0.01,30,grid128,False,mse,0.04636570066213608,0.15755337476730347,0.9714159369468689
pointnetpp,case_k_003_left,0.001,30,unitcube,True,mse,0.12771572172641754,0.19859455525875092,0.2654973566532135
