Model_Name,Case,Learning_Rate,Epochs,Transformation,Rotation,Loss_Function,MSE,MAE,Cosine_Similarity,Angle_Difference
large_sample_linear_autoencoder,case_k_003_left,0.1,100,grid128,False,mse,0.6708720326423645,0.6967250108718872,0.4685952365398407,58.010257720947266
large_sample_linear_autoencoder,case_k_008_right,0.1,100,grid128,False,mse,0.5758309364318848,0.6864544153213501,0.5412554144859314,54.739044189453125
large_sample_linear_autoencoder,case_m_006_left,0.1,100,grid128,False,mse,0.6278874278068542,0.7205276489257812,0.40335339307785034,65.27660369873047
large_sample_linear_autoencoder,case_w_027_right,0.1,100,grid128,False,mse,0.6172914505004883,0.7064213752746582,0.42643555998802185,62.498966217041016
large_sample_linear_autoencoder,case_w_038_left,0.1,100,grid128,False,mse,0.6049125790596008,0.6988070011138916,0.46851012110710144,59.81111145019531
large_sample_linear_autoencoder,aneurysm1,0.1,100,grid128,False,mse,0.6196889281272888,0.7387332320213318,0.43791377544403076,61.98560333251953
large_sample_linear_autoencoder,aneurysm2,0.1,100,grid128,False,mse,0.5156832933425903,0.651133120059967,0.6380361914634705,45.82590103149414
large_sample_linear_autoencoder,bifurication,0.1,100,grid128,False,mse,0.7078648209571838,0.8269741535186768,0.49818095564842224,58.84597396850586
large_sample_linear_autoencoder,cylinder,0.1,100,grid128,False,mse,0.67882239818573,0.8068738579750061,0.550872802734375,56.52384567260742
large_sample_linear_autoencoder,case_k_003_left,0.01,100,unitcube,False,mse,0.1280636042356491,0.18817949295043945,0.25617751479148865,69.52061462402344
large_sample_linear_autoencoder,case_k_008_right,0.01,100,unitcube,False,mse,0.02694813162088394,0.10280483961105347,0.36237603425979614,59.45177459716797
large_sample_linear_autoencoder,case_m_006_left,0.01,100,unitcube,False,mse,0.02834346517920494,0.1083458811044693,0.5720862746238708,42.4061393737793
large_sample_linear_autoencoder,case_w_027_right,0.01,100,unitcube,False,mse,0.03725042939186096,0.1261795610189438,0.24328100681304932,70.42189025878906
large_sample_linear_autoencoder,case_w_038_left,0.01,100,unitcube,False,mse,0.059386443346738815,0.15906676650047302,0.3973715007305145,57.86160659790039
large_sample_linear_autoencoder,bifurication,0.01,100,unitcube,False,mse,0.002282701199874282,0.03209042549133301,0.8241742849349976,25.602920532226562
large_sample_linear_autoencoder,aneurysm2,0.01,100,unitcube,False,mse,0.0074615804478526115,0.05465604364871979,0.13043001294136047,78.29673767089844
large_sample_linear_autoencoder,aneurysm1,0.01,100,unitcube,False,mse,0.011090099811553955,0.07590308040380478,0.18550308048725128,75.7544937133789
large_sample_linear_autoencoder,cylinder,0.01,100,unitcube,False,mse,0.004486688878387213,0.04001545533537865,0.9103997945785522,15.85439682006836
large_sample_linear_autoencoder,case_k_003_left,0.01,100,zerocenter,False,mse,0.12685604393482208,0.19454851746559143,0.2700212597846985,68.44003295898438
large_sample_linear_autoencoder,case_k_008_right,0.01,100,zerocenter,False,mse,0.027146240696310997,0.11052664369344711,0.3764389753341675,57.806724548339844
large_sample_linear_autoencoder,case_m_006_left,0.01,100,zerocenter,False,mse,0.022653724998235703,0.1062212586402893,0.5956516265869141,40.04600143432617
large_sample_linear_autoencoder,case_w_027_right,0.01,100,zerocenter,False,mse,0.03690082207322121,0.1334136724472046,0.25308239459991455,69.47164916992188
large_sample_linear_autoencoder,case_w_038_left,0.01,100,zerocenter,False,mse,0.05339441075921059,0.1583159863948822,0.4161493182182312,55.976806640625
large_sample_linear_autoencoder,bifurication,0.01,100,zerocenter,False,mse,0.004650208167731762,0.04554060474038124,0.8568799495697021,21.117521286010742
large_sample_linear_autoencoder,aneurysm2,0.01,100,zerocenter,False,mse,0.01128045842051506,0.07123420387506485,0.1360802799463272,77.40200805664062
large_sample_linear_autoencoder,aneurysm1,0.01,100,zerocenter,False,mse,0.0151193393394351,0.0920092985033989,0.193971648812294,75.0744857788086
large_sample_linear_autoencoder,cylinder,0.01,100,zerocenter,False,mse,0.0032459304202347994,0.03578933700919151,0.9465981721878052,7.273700714111328
large_sample_linear_autoencoder,case_k_003_left,0.1,100,unitcube,True,mse,0.127974271774292,0.1987459808588028,0.26238688826560974,69.32150268554688
large_sample_linear_autoencoder,case_k_008_right,0.1,100,unitcube,True,mse,0.029023436829447746,0.11470107734203339,0.3670582175254822,59.105018615722656
large_sample_linear_autoencoder,case_m_006_left,0.1,100,unitcube,True,mse,0.02111532911658287,0.10270144790410995,0.6170336604118347,36.99945068359375
large_sample_linear_autoencoder,case_w_027_right,0.1,100,unitcube,True,mse,0.03731278330087662,0.13403750956058502,0.27019166946411133,67.78179168701172
large_sample_linear_autoencoder,case_w_038_left,0.1,100,unitcube,True,mse,0.05234812945127487,0.15900568664073944,0.4184129238128662,56.03458023071289
large_sample_linear_autoencoder,bifurication,0.1,100,unitcube,True,mse,0.006555879954248667,0.05106816813349724,0.8637071847915649,19.563505172729492
large_sample_linear_autoencoder,aneurysm2,0.1,100,unitcube,True,mse,0.014191432856023312,0.0785820335149765,0.10752636194229126,80.07477569580078
large_sample_linear_autoencoder,aneurysm1,0.1,100,unitcube,True,mse,0.017143338918685913,0.09541158378124237,0.20558324456214905,73.41349029541016
large_sample_linear_autoencoder,cylinder,0.1,100,unitcube,True,mse,0.00395688833668828,0.03299931436777115,0.9540994763374329,2.0122549533843994
large_sample_linear_autoencoder,case_k_003_left,0.1,100,unitcube,False,mse,0.8026906847953796,0.6943960785865784,-0.04189964383840561,93.36406707763672
